"stimulus","rt","response","type_of_trial","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","prolific_id","prolific_id_man","view_history","percent","estimate","distance","buyin","bet","result","cons","outcome_valence","error","manip_check","truth_bn","truth_lk","minimum","report","truth","question_order","wallet","success","earnings","bonus","low_thresholds","age","gender","race_ethnicity","income","education","ses","party","politics","religiosity","understand","confusing","annoying","issues","other_feedback"
"","6293","{""Q0"":""Guess whether money will be on the line or not"",""Q1"":""Decide the smallest chance of winning where they are willing to bet the amount at stake"",""Q2"":""Only when the Reporter's estimate is greater than or equal to the number the Decider enters""}","comprehension","survey-multi-choice","61","26710","0.0-7.0-38.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: firebrick"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: black"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: black"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","676","0","incorrect_response","html-button-response","62","26710","0.0-7.0-39.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","6817","{""Q0"":""Guess whether money will be on the line or not"",""Q1"":""Decide the amount of money at stake for each round"",""Q2"":""Only when the Reporter's estimate is lower than the number the Decider enters""}","comprehension","survey-multi-choice","63","26710","0.0-7.0-40.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: firebrick"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","583","0","incorrect_response","html-button-response","64","26710","0.0-7.0-41.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","8322","{""Q0"":""Guess what number the Decider will enter"",""Q1"":""Decide whether or not the wheel will be spun"",""Q2"":""Only when the Reporter's estimate is greater than or equal to the number the Decider enters""}","comprehension","survey-multi-choice","65","26710","0.0-7.0-42.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: firebrick"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: black"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","485","0","incorrect_response","html-button-response","66","26710","0.0-7.0-43.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","5509","{""Q0"":""Estimate the chance of winning of the wheel"",""Q1"":""Decide the amount of money at stake for each round"",""Q2"":""Only when the Reporter's estimate is greater than or equal to the number the Decider enters""}","comprehension","survey-multi-choice","67","26710","0.0-7.0-44.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: black"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: black"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","574","0","incorrect_response","html-button-response","68","26710","0.0-7.0-45.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","5494","{""Q0"":""Estimate the chance of winning of the wheel"",""Q1"":""Decide whether or not the wheel will be spun"",""Q2"":""Every round, regardless of what numbers the Decider and the Reporter enter""}","comprehension","survey-multi-choice","69","26710","0.0-7.0-46.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: black"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","547","0","incorrect_response","html-button-response","70","26710","0.0-7.0-47.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4655","{""Q0"":""Estimate the chance of winning of the wheel"",""Q1"":""Decide which color to bet on"",""Q2"":""Only when the Reporter's estimate is lower than the number the Decider enters""}","comprehension","survey-multi-choice","71","26710","0.0-7.0-48.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: black"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","675","0","incorrect_response","html-button-response","72","26711","0.0-7.0-49.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","6285","{""Q0"":""Estimate the percentage of the wheel that is black"",""Q1"":""Decide whether or not the wheel will be spun"",""Q2"":""On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter""}","comprehension","survey-multi-choice","73","26711","0.0-7.0-50.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: firebrick"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","570","0","incorrect_response","html-button-response","74","26711","0.0-7.0-51.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","5466","{""Q0"":""Estimate the chance of winning of the wheel"",""Q1"":""Decide whether or not the wheel will be spun"",""Q2"":""Only when the Reporter's estimate is greater than or equal to the number the Decider enters""}","comprehension","survey-multi-choice","75","26711","0.0-7.0-52.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: black"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: black"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","560","0","incorrect_response","html-button-response","76","26711","0.0-7.0-53.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4800","{""Q0"":""Estimate the percentage of the wheel that is black"",""Q1"":""Decide the amount of money at stake for each round"",""Q2"":""Only when the Reporter's estimate is greater than or equal to the number the Decider enters""}","comprehension","survey-multi-choice","77","26711","0.0-7.0-54.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: firebrick"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: black"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","494","0","incorrect_response","html-button-response","78","26711","0.0-7.0-55.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","7041","{""Q0"":""Estimate the chance of winning of the wheel"",""Q1"":""Decide which color to bet on"",""Q2"":""Only when the Reporter's estimate is lower than the number the Decider enters""}","comprehension","survey-multi-choice","79","26711","0.0-7.0-56.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: black"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","633","0","incorrect_response","html-button-response","80","26711","0.0-7.0-57.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
