"stimulus","rt","response","type_of_trial","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","prolific_id","prolific_id_man","view_history","percent","estimate","distance","buyin","bet","result","cons","outcome_valence","error","manip_check","truth_bn","truth_lk","minimum","report","truth","question_order","wallet","success","earnings","bonus","low_thresholds","age","gender","race_ethnicity","income","education","ses","party","politics","religiosity","understand","confusing","annoying","issues","other_feedback"
"","5748","{""Q0"":""Estimate the chance of winning of the wheel"",""Q1"":""Decide whether or not the wheel will be spun"",""Q2"":""Only when the Reporter's estimate is greater than or equal to the number the Decider enters""}","comprehension","survey-multi-choice","35","8992","0.0-7.0-12.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: black"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: black"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","889","0","incorrect_response","html-button-response","36","8993","0.0-7.0-13.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","5492","{""Q0"":""Estimate the percentage of the wheel that is black"",""Q1"":""Decide whether or not the wheel will be spun"",""Q2"":""On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter""}","comprehension","survey-multi-choice","37","8993","0.0-7.0-14.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: firebrick"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","477","0","incorrect_response","html-button-response","38","8993","0.0-7.0-15.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","5908","{""Q0"":""Estimate the chance of winning of the wheel"",""Q1"":""Decide which color to bet on"",""Q2"":""Only when the Reporter's estimate is greater than or equal to the number the Decider enters""}","comprehension","survey-multi-choice","39","8993","0.0-7.0-16.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: black"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: black"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","790","0","incorrect_response","html-button-response","40","8993","0.0-7.0-17.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","8436","{""Q0"":""Estimate the percentage of the wheel that is black"",""Q1"":""Decide the smallest chance of winning where they are willing to bet the amount at stake"",""Q2"":""Only when the Reporter's estimate is greater than or equal to the number the Decider enters""}","comprehension","survey-multi-choice","41","8993","0.0-7.0-18.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: firebrick"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: black"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: black"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","555","0","incorrect_response","html-button-response","42","8993","0.0-7.0-19.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","6024","{""Q0"":""Guess what number the Decider will enter"",""Q1"":""Decide whether or not the wheel will be spun"",""Q2"":""Only when the Reporter's estimate is lower than the number the Decider enters""}","comprehension","survey-multi-choice","43","8993","0.0-7.0-20.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: firebrick"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","763","0","incorrect_response","html-button-response","44","8993","0.0-7.0-21.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","7218","{""Q0"":""Estimate the percentage of the wheel that is black"",""Q1"":""Decide whether or not the wheel will be spun"",""Q2"":""On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter""}","comprehension","survey-multi-choice","45","8993","0.0-7.0-22.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: firebrick"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","699","0","incorrect_response","html-button-response","46","8993","0.0-7.0-23.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","6684","{""Q0"":""Guess what number the Decider will enter"",""Q1"":""Decide whether or not the wheel will be spun"",""Q2"":""Only when the Reporter's estimate is greater than or equal to the number the Decider enters""}","comprehension","survey-multi-choice","47","8993","0.0-7.0-24.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: firebrick"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: black"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","838","0","incorrect_response","html-button-response","48","8993","0.0-7.0-25.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","6579","{""Q0"":""Estimate the percentage of the wheel that is black"",""Q1"":""Decide the amount of money at stake for each round"",""Q2"":""Only when the Reporter's estimate is lower than the number the Decider enters""}","comprehension","survey-multi-choice","49","8993","0.0-7.0-26.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: firebrick"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","781","0","incorrect_response","html-button-response","50","8993","0.0-7.0-27.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","6541","{""Q0"":""Estimate the chance of winning of the wheel"",""Q1"":""Decide the smallest chance of winning where they are willing to bet the amount at stake"",""Q2"":""On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter""}","comprehension","survey-multi-choice","51","8993","0.0-7.0-28.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: black"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: black"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","537","0","incorrect_response","html-button-response","52","8993","0.0-7.0-29.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","6495","{""Q0"":""Estimate the chance of winning of the wheel"",""Q1"":""Decide the smallest chance of winning where they are willing to bet the amount at stake"",""Q2"":""Every round, regardless of what numbers the Decider and the Reporter enter""}","comprehension","survey-multi-choice","53","8993","0.0-7.0-30.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: black"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: black"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","693","0","incorrect_response","html-button-response","54","8993","0.0-7.0-31.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
